"","자치구","행정동","전체점포수","프랜차이즈","일반","X1인세대","고령자수","주거건물대지면적","총인구","외국인","X1인가구","노인인구","일반가구","인구지수","H_cluster","Km_cluster","Kmed_cluster"
"1","강남구","개포1동","4","0","4","841","1506","264667.25","-1.92152888851807","-1.3407935856166","-1.57277607475291","-1.47315429314594","-2.00514948565992","-3.74397975555148","1","4","1"
"2","강남구","개포2동","19","4","15","1677","2795","433676.94","-0.140685713041919","-1.25772758569961","-1.25353883615836","-0.49163928359595","-0.514277564724072","-1.55386511230752","1","4","1"
"3","강남구","개포4동","35","5","30","2923","2254","378362.613","-0.569623020956195","-0.82072819483198","-0.485609888200625","-0.903586234850059","-0.405802671084692","-1.38296615328824","1","4","1"
"4","강남구","논현1동","143","30","113","9446","2864","730041.678","0.0644838060839267","0.891153716500731","2.55657017486273","-0.439098914582025","0.903790451855424","1.77059384247193","2","5","2"
"5","강남구","논현2동","194","50","144","6249","2964","935957.9925","-0.157753745327202","-0.322332195330052","0.983635513047488","-0.362953452243003","0.261127874444758","0.237093645790154","3","3","2"
"6","강남구","대치1동","26","13","13","578","2192","1082405.143","0.242226762985836","-1.26495071612718","-1.69846002695548","-0.950796421500252","-0.643219419427486","-1.85046201828365","1","4","1"
"7","강남구","대치2동","107","23","84","2425","4329","1665913.33","1.81307428606926","-0.878513238252494","-0.782852435159717","0.676432108684646","0.814612978647847","0.896884694405763","2","5","2"
"9","강남구","도곡1동","68","11","57","2506","2771","971536.15","-0.0727667156032428","-0.856843846969801","-0.74200515069388","-0.509914194557316","-0.410480833613614","-1.10296717935446","1","4","3"
"10","강남구","도곡2동","59","18","41","2164","4407","2359077.06","1.31751279695864","-1.02297584680378","-1.03359191980386","0.735825569309083","0.464043174136751","0.350860112821064","4","5","4"
"11","강남구","삼성1동","124","50","74","2038","2098","865084.526","-0.979844348640402","-0.488464195164028","-1.01788142577853","-1.02237315609893","-1.23120597228138","-2.16611700313237","5","5","2"
"12","강남구","삼성2동","102","29","73","5891","3247","1394378.675","0.874567931513687","-0.585976455936144","0.743579164340568","-0.147461793823571","0.784497307367912","0.877365015717074","2","5","2"
"13","강남구","세곡동","44","10","34","5865","6048","46191.53","2.56842299761863","-0.723215934059864","1.155194107804","1.98537260629243","2.20841302710856","3.47959799423923","4","1","5"
"14","강남구","수서동","32","12","20","3367","4096","686561.75","-0.860485833210908","-1.15299219449993","0.0190111798927176","0.499013181434725","-0.528896822626953","-0.82773716689698","1","6","3"
"15","강남구","신사동","25","7","18","8151","3293","780505.299","-0.670736398425559","-0.376505673536783","-0.632031692516626","-0.418539639750489","-0.812510425942852","-1.32567669834435","1","4","3"
"16","강남구","압구정동","137","36","101","2993","4887","1369643.418","0.525909230623982","-0.817116629618198","-0.773426138744524","1.10132378853639","0.00470609082821791","0.107634331222588","2","5","2"
"17","강남구","역삼1동","603","164","439","16828","3500","1896788.955","1.61944040255692","2.17687093260716","0.725983411032208","0.045186225894154","0.678726976440565","2.20671241554913","6","2","6"
"18","강남구","역삼2동","155","40","115","6422","3473","1396079.939","1.65875573209681","-0.235654630199281","1.057160625086","0.0246269510626181","1.36254276484784","1.87518048531775","2","5","2"
"19","강남구","일원1동","26","2","24","3148","3007","226669.02","-0.801159707198616","-0.864066977397365","-0.265034552085104","-0.330210903437224","-0.700819295564838","-1.28958037076343","1","4","1"
"20","강남구","일원2동","11","2","9","2207","3001","512619.105","-0.598462109989948","-1.17105002056884","-0.707442063838172","-0.334779631177565","-0.67596655712994","-1.4948766206934","1","4","1"
"21","강남구","일원본동","16","2","14","1461","2618","692859.748","0.135934120547144","-1.30828949869256","-1.3383755038951","-0.626416751936019","-0.497026840398672","-1.53105040732714","1","4","1"
"22","강남구","청담동","119","27","92","4727","3994","1269366.925","0.809356277127159","-0.499298890805374","0.0944215512142632","0.421344809848922","0.312295277104842","0.600279026806448","2","5","2"
"23","강동구","강일동","15","8","7","2271","4522","992115.54","1.04560138606897","-0.874901673038712","-0.610665420642188","0.823392850998958","0.611405293797796","0.580063478629662","4","6","4"
"24","강동구","고덕1동","14","5","9","1626","2647","451210.185","0.451398441406162","-1.01936428159","-1.20012315647227","-0.604334567857703","-0.243821293520766","-1.08454969559605","1","4","3"
"25","강동구","고덕2동","7","3","4","2049","2371","131229.265","-0.45897508752057","-1.06992619458294","-0.831240756757709","-0.814496043913403","-0.315163272086827","-1.4932615042738","1","4","1"
"26","강동구","길동","78","20","58","8396","7120","1266788.196","0.655685131275872","-0.286216543192231","2.423345185528","0.632267740528013","0.678726976440565","1.96112832458794","4","1","5"
"27","강동구","둔촌1동","1","0","1","114","93","0","-0.677710749549028","-1.37690923775442","-1.91463642474391","-2.54908967599632","-2.68202112656332","-4.13312417960172","1","4","1"
"28","강동구","둔촌2동","44","8","36","3575","4009","733267.451","0.53061765332337","-0.968802368597046","-0.417112134250221","0.432766629199775","0.220486337474747","0.0278702933429378","4","6","3"
"29","강동구","명일1동","57","12","45","2276","3512","585488.458","0.41361334924357","-1.0988187162932","-0.851350189110121","0.0543236813748366","0.0377456136887299","-0.534247997853793","1","6","3"
"30","강동구","명일2동","32","10","22","1142","2251","695225.636","-0.643427546769107","-1.27578541176852","-1.43892266565716","-0.905870598720229","-1.06717789861105","-2.34032960031514","1","4","1"
"31","강동구","상일동","21","3","18","1140","1575","246996.869","-1.46799007199949","-1.13132280321724","-1.01285406769043","-1.42061392413202","0.525736442486911","-1.94813849379289","1","4","1"
"32","강동구","성내1동","63","15","48","2408","2818","522557.25","-0.315839037459165","-0.972413933810828","-0.782224015398704","-0.474125827257975","-0.489132441131116","-1.29934289326558","1","4","3"
"33","강동구","성내2동","57","9","48","6275","3978","420407.469","0.22857233715761","1.38593815078888","1.31355588757925","0.409161535874679","0.652631601083921","1.6975004149419","4","1","4"
"34","강동구","성내3동","68","13","55","3922","3431","552157.217","0.079668469289454","-0.419844456102168","0.0510605877043744","-0.00735414311977109","0.107625666464503","-0.0331706658837022","4","6","3"
"35","강동구","암사1동","34","3","31","6182","5609","649557.216","1.58306783720414","-0.257324021481974","0.941531389059625","1.65109402662413","1.53358808231155","2.59218556585619","4","1","5"
"36","강동구","암사2동","18","3","15","1893","2120","418730.82","-0.997030091493169","-1.2613391509134","-0.987717277249916","-1.00562115438435","-0.959872545603897","-2.28633557699209","1","4","1"
"37","강동구","암사3동","9","2","7","1098","2364","653923.86","-0.535722377520599","-1.22522349877557","-1.47411417227389","-0.819826226277135","-0.966305019081164","-2.20059399970495","1","4","1"
"38","강동구","천호1동","28","7","21","5201","4781","546795.3","0.606894101053461","-0.297051238833577","0.437538740727296","1.02060959845702","0.647661053396942","1.16496450889053","4","6","4"
"39","강동구","천호2동","74","27","47","8529","5672","681364.353","1.49019419945871","1.46900415070587","2.08965429243016","1.69906566789771","1.90491723304474","3.87690563468786","4","1","5"
"40","강동구","천호3동","37","9","28","6642","4468","659272.341","0.559339031789639","0.533608760336304","1.35251791276205","0.782274301335886","0.914023932387441","1.8760236415473","4","1","4"
"41","강북구","미아동","35","4","31","5705","4228","317310.6966","-0.0506371289161177","0.464989021274444","1.10240684787892","0.599525191722233","0.390654499464287","1.10918723330551","4","6","4"
"42","강북구","번1동","47","8","39","5440","3416","285996.1509","-0.427310944867183","0.0496590216895038","0.834071609926423","-0.0187759624706244","0.0181558080988688","0.203348645273166","4","6","3"
"43","강북구","번2동","10","1","9","2791","3808","414664.6285","-0.722999890388769","-0.943521412100571","-0.504462481031012","0.279714249898341","-0.643219419427486","-1.08910590999102","1","4","3"
"44","강북구","번3동","16","4","12","2284","4444","568382.4225","-0.58775044834884","-1.12048810757589","-0.660310581762206","0.763999390374521","-0.597607334770496","-0.917990475615833","1","4","3"
"45","강북구","삼각산동","18","5","13","2546","4148","948287.81","1.13659165473465","-0.950744542528136","-0.648370606302961","0.538608821851016","0.54064808554785","0.417578176601305","4","6","4"
"46","강북구","삼양동","16","4","12","4612","4712","490456.983","0.269888746344742","-0.737662194914992","-0.0186940057680552","0.968069229443099","0.18686204429812","0.393550770899197","4","6","4"
"47","강북구","송중동","47","13","34","5793","5705","412777.514","0.930951293338862","0.75030267316323","0.939646129776587","1.72419367046959","1.01197296033675","2.40588024605325","4","1","5"
"48","강북구","송천동","35","10","25","6264","5801","315552.824","0.633732110439974","0.327749543150725","0.914509339336072","1.79729331431505","0.803502342641657","2.0396925265423","4","1","4"
"49","강북구","수유1동","24","3","21","4700","4196","344707.975","-0.165169511078739","-0.445125412598643","0.260324368121663","0.575158643773746","-0.0058197748618567","0.146524695826214","4","6","3"
"50","강북구","수유2동","20","4","16","3502","4467","471024.116","-0.153633875465237","-0.921852020817879","-0.23801250236155","0.781512846712496","-0.136223555355559","-0.214400250039872","4","6","3"
"51","강북구","수유3동","52","10","42","6847","4340","284425.994","0.0965010804397672","-0.058687934723959","1.62085315071455","0.684808109541938","0.676607184044647","1.41912388667024","4","1","4"
"52","강북구","우이동","50","9","41","3563","4550","396337.948","-0.218139266446857","-0.911017325176533","-0.387576405482616","0.844713580453884","-0.263118713952569","-0.344286581889686","1","6","3"
"53","강북구","인수동","45","7","38","5668","6659","528294.625","1.08491671560886","-0.596811151577491","0.555681655797717","2.45062138118386","1.05495357857122","2.186256597186","4","1","5"
"54","강서구","가양1동","186","67","119","12077","2737","726093.874","1.28420070636047","-0.174258021564986","0.725983411032208","-0.535803651752583","0.678726976440565","0.979951939373427","3","3","2"
"55","강서구","가양2동","4","2","2","4036","3639","562101.89","-0.953948023793766","-1.11326497714833","0.358357850839673","0.151028418545394","-0.484454278602194","-0.835217174021673","1","4","3"
"56","강서구","가양3동","8","4","4","3232","3362","790077.29","-0.829292532827461","-1.02297584680378","-0.0802791423473175","-0.0598945121336962","-0.505506009982343","-1.05504108853725","1","4","3"
"57","강서구","공항동","39","11","28","5577","3640","197753.372","0.590532332173086","1.77959875909113","0.802022202114766","0.151789873168785","0.657602148770901","1.65248371021979","4","1","4"
"58","강서구","등촌1동","47","9","38","6460","2659","1004807.113","0.0556555135225736","-0.632926803715312","1.86530843774856","-0.59519711237702","0.81051958643504","0.805830274418012","4","6","4"
"59","강서구","등촌2동","27","8","19","2653","2943","550934.0825","-0.161991325756651","-0.954356107741918","-0.569189716415338","-0.378943999334198","-0.313993731454597","-0.992608443808719","1","4","3"
"60","강서구","등촌3동","47","14","33","5671","6039","1217426.146","1.09021369114567","-0.723215934059864","1.43421248169372","1.97851951468192","1.4566907857424","2.53792360902947","4","1","5"
"61","강서구","발산1동","61","17","44","2772","4378","875793.273","1.7965948066214","-0.856843846969801","-0.566047617610274","0.713743385230766","1.0371180839297","1.12206729699397","4","1","4"
"62","강서구","방화1동","43","9","34","4931","6030","763512.175","2.6395201803794","-0.304274369261141","0.463932370689837","1.97166642307141","2.04672403470269","3.24942432026918","4","1","5"
"63","강서구","방화2동","31","10","21","5471","4491","782859.793","0.094970843062466","-0.221208369344153","0.724726571510182","0.799787757673861","0.300015100466422","0.813482739105035","4","6","4"
"64","강서구","방화3동","17","8","9","4571","4697","872925.751","0.143938439136105","-0.867678542611147","0.479014444954146","0.956647410092246","0.344457644491182","0.592625679667397","4","6","4"
"65","강서구","염창동","50","15","35","3881","3956","1454953.037","2.27591223741913","-0.983248629452174","-0.0375465985984416","0.392409534160094","1.60785391245819","1.68590238746889","4","1","5"
"66","강서구","우장산동","35","9","26","3784","5331","1048475.954","2.53828909234255","-0.600422716791273","-0.142492698687593","1.43940964132164","1.68328928323706","2.40093592543518","4","1","5"
"67","강서구","화곡1동","58","14","44","12339","7786","1049810.456","0.655685131275872","2.69332475817799","0.725983411032208","0.632267740528013","0.678726976440565","2.18739336710088","4","1","5"
"68","강서구","화곡2동","10","2","8","2830","2712","284119.766","-0.442260186937741","-0.260935586695756","-0.459216258238084","-0.554840017337338","-0.477729419966868","-0.99583394452578","1","4","3"
"69","강서구","화곡3동","31","8","23","3278","3749","895051.023","-0.0628790279345273","-0.80267036876307","-0.484353048678599","0.234788427118319","-0.236219279411267","-0.539833308236637","1","6","3"
"70","강서구","화곡4동","17","4","13","3574","3520","327828.9745","-0.141274265879343","-0.0948035868617799","-0.0526286728627508","0.0604153183619584","-0.0803779901665518","-0.136185726591531","4","6","3"
"71","강서구","화곡6동","35","5","30","5263","3591","704654.207","0.220568018568649","-0.643761499356658","0.709644497245873","0.114478596622664","0.469890877297904","0.495280834829092","4","6","4"
"72","강서구","화곡8동","21","8","13","4342","4040","496458.604","0.384303417939878","0.421650238709059","0.184285577039105","0.456371722524872","0.424863562957029","0.824723887129231","4","6","4"
"73","강서구","화곡본동","26","7","19","7054","4539","630884.198","1.4918421474035","0.132725021606492","1.63027944712974","0.836337579596591","1.72042219831038","2.72782425769913","4","1","5"
"74","관악구","낙성대동","71","12","59","7576","1921","275984.34","-0.661672684729237","1.26675649873407","2.06640276127268","-1.157150624439","0.188616355246466","0.654524054491133","4","6","4"
"75","관악구","난곡동","12","4","8","5177","5021","367950.635","0.667161911605631","0.61306319503951","0.692677163698525","1.20335870807068","0.742101459449556","1.75260907390285","4","1","4"
"76","관악구","난향동","4","2","2","1925","2664","460723.046","-0.806338972167943","-1.00130645552108","-1.06752658689855","-0.591389839260069","-1.00840848184146","-1.98050768617257","1","4","1"
"77","관악구","남현동","32","9","23","4727","2599","435571.686","-0.501939444652488","-0.708769673204735","0.504151235394661","-0.640884389780433","-0.177449862641684","-0.62080044631089","1","6","3"
"78","관악구","대학동","88","23","65","11696","2684","340978.05","0.142761333461257","1.84821849815299","0.725983411032208","-0.576160746792265","1.439440061417","1.47628912010623","4","5","2"
"79","관악구","미성동","27","5","22","5485","5334","635358.825","1.11905278017942","1.0392278902658","0.712158176289924","1.44169400519182","1.04588963867143","2.37747917530354","4","1","5"
"80","관악구","보라매동","25","7","18","5881","4196","432215.485","0.382773180562577","3.44091875743089","1.33806425825875","0.575158643773746","0.681577731731627","2.57500755776701","4","1","5"
"81","관악구","삼성동","7","2","5","4700","5527","513237.342","0.233280759856998","-0.762943151411467","0.0498037481823487","1.58865474750613","0.181306726295025","0.676100434197346","4","6","4"
"82","관악구","서림동","25","0","25","9096","3338","304712.393","0.128871486498062","0.779195194873486","2.94241990812464","-0.0781694230950614","1.10553621091519","2.20337283796095","4","1","4"
"83","관악구","서원동","48","19","29","8769","3144","422952.281","0.096971922709706","1.72542528088439","2.86198217871499","-0.225891620032764","1.09208649364454","2.40153532958769","4","1","5"
"84","관악구","성현동","11","0","11","3790","5153","916018.272","0.933540925823525","-0.683488716708261","0.0183827601317047","1.30387071835819","0.694442678686162","1.14269622425379","4","6","4"
"85","관악구","신림동","52","16","36","13623","1854","274728.655","-0.0846554829191983","1.74709467216709","0.725983411032208","-1.20816808420615","1.85462698585883","1.24898459289048","4","1","4"
"86","관악구","신사동","197","41","156","2919","2891","173101.235","0.319680316390773","0.916434672997206","2.6577457563858","-0.112434881147621","0.968992342102275","2.12701128169771","3","3","2"
"87","관악구","신원동","13","3","10","6191","3059","161354.7","-0.41224399222914","3.01836562741838","1.54104384106591","-0.290615263020933","0.213469093681364","1.52976510100105","4","1","4"
"88","관악구","은천동","23","11","12","6735","5515","802326.5318","1.42345230769488","0.974219716417719","1.67803934896672","1.57951729202545","1.65229645648295","3.30727128351692","4","1","5"
"89","관악구","인헌동","31","6","25","7706","3738","441227.71","0.452457836513524","-0.0406301086550485","2.33976535731328","0.226412426261026","1.16956856052981","1.96332431003046","4","1","4"
"90","관악구","조원동","36","6","30","6481","2610","283788.751","-0.431430814729148","0.916434672997206","1.58880374290289","-0.632508388923141","0.102655118777523","0.615790876023418","4","6","4"
"91","관악구","중앙동","23","7","16","6168","2306","286911.435","-0.865076545342812","0.14717128246162","1.57874902672669","-0.863990594433767","-0.088857159750223","-0.056150461028747","4","6","3"
"92","관악구","청룡동","59","17","42","14777","4082","548800.1423","1.3178659286611","3.4987038008514","0.725983411032208","0.488352816707261","0.678726976440565","2.71474741296379","4","1","5"
"93","관악구","청림동","10","3","7","1980","2624","488976.21","-0.819051713456291","-0.918240455604097","-1.03673401860892","-0.621848024195678","-0.952562916652456","-1.93048089645218","1","4","1"
"94","관악구","행운동","40","8","32","10541","4125","534480.48","0.802411353645561","0.501104673412265","0.725983411032208","0.521095365513041","2.10637060694645","2.14601191773317","4","1","5"
"95","광진구","광장동","44","9","35","2183","3494","1236692.832","1.51126439103847","-0.744885325342556","-0.975148882029659","0.0406174981538127","0.574272378724477","0.306280528981967","4","6","4"
"96","광진구","구의1동","42","10","32","6365","2955","315341.569","-0.0213271976124254","1.25592180309272","1.59508794051302","-0.369806543853515","0.530999375331948","1.25594457098319","4","6","4"
"97","광진구","구의2동","32","4","28","4190","4025","412421.586","0.548274238446076","0.223014151951044","-0.00235509198172036","0.444949903174019","0.371064693874426","0.716616994444155","4","6","4"
"98","광진구","구의3동","60","17","43","4046","3728","3889904.348","0.806295802372556","-0.344001586612744","0.0359785134400653","0.218797880027124","0.56286935756023","0.654458879799677","7","5","2"
"99","광진구","군자동","52","13","39","5985","2833","243388.06","-0.133623078992837","0.916434672997206","1.56680905126744","-0.462704007907122","0.306739959101748","0.922735459037142","4","6","4"
"100","광진구","능동","19","6","13","3563","1525","100203.118","-1.32614883818041","-0.0478532390826127","0.124585699742881","-1.45868665530153","-0.918646238317771","-1.69173797423611","1","4","1"
"101","광진구","자양1동","37","5","32","5648","3202","287954.805","0.10733045264836","2.58136623655075","0.982378673525463","-0.181727251876131","0.382760100196731","1.49774759596694","4","1","4"
"102","광진구","자양2동","29","7","22","4008","3692","564173.525","0.429504275854006","0.132725021606492","0.0284374763079108","0.191385513585076","0.285688227721598","0.488011951305481","4","6","4"
"103","광진구","자양3동","42","12","30","2894","3772","1176313.452","0.733432961099522","-0.401786630033258","-0.579244432591544","0.252301883456294","0.250894393912741","0.176530896938794","4","6","4"
"104","광진구","자양4동","56","9","47","5007","3458","240212.66","-0.028742963363962","0.916434672997206","0.438795580249321","0.0132051317117648","-0.251715692788322","0.389766535081782","4","6","4"
"105","광진구","중곡1동","25","1","24","3932","2356","154758.253","-0.818934002888806","0.212179456309698","0.144066712334281","-0.825917863264256","-0.538253147684797","-0.882801961520579","1","4","3"
"106","광진구","중곡2동","30","6","24","4577","3048","215496.215","-0.0800647707872947","-0.206762108489025","0.457019753318695","-0.298991263878225","0.125461161106018","0.0307291655921672","4","6","3"
"107","광진구","중곡3동","29","8","21","4011","2638","158205.0924","-0.697927539514527","-0.517356716874285","0.0573447853145032","-0.611187659468215","-0.476852264492695","-0.989077555993088","1","4","3"
"108","광진구","중곡4동","28","4","24","4966","4725","392803.475","0.855969661851103","0.0171549347654649","0.43628190120527","0.977968139547172","0.802332802009427","1.44644110734749","4","1","4"
"109","광진구","화양동","135","32","103","12689","2230","299079.359","0.269888746344742","0.916434672997206","0.725983411032208","-0.921861145811424","2.17391157845776","1.41693798239002","2","5","2"
"110","구로구","가리봉동","8","2","6","3936","1903","135372.297","-0.940999861370449","0.916434672997206","-0.128039044184296","-1.17085680766003","-1.25284247397764","-1.32750217834177","1","4","1"
"111","구로구","개봉1동","31","6","25","4817","5797","714612.915","1.24665103533285","2.59581249740588","0.338248418487261","1.79424749582149","1.2324313695122","3.04529173394183","4","1","5"
"112","구로구","개봉2동","25","10","15","3128","5790","953713.43","1.15260029191257","0.421650238709059","-0.427166850426427","1.78891731345776","0.74034714850121","1.65784312513853","4","1","4"
"113","구로구","개봉3동","25","3","22","2632","3835","446571.386","-0.145864978011246","0.392757716998802","-0.749546187826035","0.300273524729877","-0.325396752618844","-0.307763633793936","4","6","3"
"114","구로구","고척1동","35","17","18","2961","4019","600056.778","0.110390927402963","0.288022325799122","-0.525828752905449","0.440381175433678","-0.112247972394833","0.0494169894358537","4","6","3"
"115","구로구","고척2동","24","5","19","3728","4696","633770.649","0.67163491317005","0.793641455728615","-0.0859349201964334","0.955885955468856","0.435681813805161","1.19302747409427","4","6","4"
"116","구로구","구로1동","12","1","11","2169","2273","790426.838","-0.135035605802653","0.288022325799122","-0.773426138744524","-0.889118597005645","-0.372178377908064","-0.907573695797694","1","4","3"
"117","구로구","구로2동","62","14","48","6155","5348","825547.384","1.40826764448935","0.916434672997206","0.835956869209462","1.45235436991928","0.585675399888725","2.31412764341246","4","1","5"
"118","구로구","구로3동","119","53","66","7607","3224","2650547.387","0.358524803660727","0.916434672997206","1.97591031568683","-0.164975250161546","0.834787554553824","1.73817063040474","2","5","2"
"119","구로구","구로4동","24","8","16","5017","4190","620035.21","0.350167353369313","0.916434672997206","0.446965037142489","0.570589916033405","0.0702003662331266","0.980909796866609","4","6","4"
"120","구로구","구로5동","57","18","39","6938","4302","1626604.614","1.1985074132316","0.916434672997206","1.44363877810892","0.65587283385311","1.18360304811657","2.42834630006653","4","1","5"
"121","구로구","수궁동","19","4","15","2834","3979","591852.133","0.193730009182136","-0.105638282503126","-0.607523321837124","0.409922990498069","-0.0289182023484093","-0.0572649237476056","4","6","3"
"122","구로구","신도림동","37","18","19","2964","4302","1986221.2","1.64133456810907","-0.206762108489025","-0.457959418716058","0.65587283385311","1.03536377298136","1.29416729200521","4","1","4"
"123","구로구","오류1동","10","4","6","5579","3694","608518.192","0.00598165404402682","1.21258302052734","0.987406031613566","0.192908422831856","0.397964128415727","1.15894123578864","4","6","4"
"124","구로구","오류2동","34","11","23","5702","7580","740021.0675","0.655685131275872","1.60624362882959","0.982378673525463","0.632267740528013","0.678726976440565","1.93508629772241","4","1","4"
"125","금천구","가산동","247","103","144","9891","2337","4781376.073","0.142525912326288","0.916434672997206","0.725983411032208","-0.840385501108671","1.44382583878786","1.04029382812644","8","3","2"
"126","금천구","독산1동","50","14","36","9801","5255","1060382.217","2.42434526301735","0.916434672997206","0.725983411032208","1.38153908994399","0.678726976440565","2.7611491224361","4","1","5"
"127","금천구","독산2동","15","3","12","4055","3200","200762.939","-0.216491318502071","0.916434672997206","0.0981920697803405","-0.183250161122912","-0.227447724669539","0.0640291986904233","4","6","3"
"128","금천구","독산3동","22","3","19","5803","4214","413899.953","0.785343321360278","0.916434672997206","0.854809462039848","0.58886482699477","0.551173951237924","1.62002664196125","4","1","4"
"129","금천구","독산4동","18","7","11","3380","2696","193714.736","-0.590575501968473","0.916434672997206","-0.2794882065884","-0.567023291311582","-0.680644719658862","-0.682897502293337","1","6","3"
"130","금천구","시흥1동","48","15","33","6731","5749","575053.519","1.58459807458144","0.916434672997206","1.40279149364308","1.75769767389876","1.53592716357602","3.25973128097858","4","1","5"
"131","금천구","시흥2동","11","6","5","2066","3750","740020.39","-0.0688822668762474","-1.00491802073487","-0.917962683777487","0.235549881741709","-0.397908271817136","-0.89251338292126","1","4","3"
"132","금천구","시흥3동","7","2","5","1473","2188","406420.723","-1.37958943581847","-0.838786020900891","-1.20075157623328","-0.953842239993813","-1.40751422259012","-2.61686662755558","1","4","1"
"133","금천구","시흥4동","9","2","7","3139","3741","354853.347","-0.121028048271973","1.66041710703632","-0.399516380941861","0.228696790131197","-0.257855781107532","0.302314669125489","4","6","3"
"134","금천구","시흥5동","15","7","8","3797","4066","277257.341","-0.27923105097142","1.12229389018278","-0.0897054387625107","0.476169542733018","-0.247329915417457","0.303866968569698","4","6","3"
"135","노원구","공릉1동","92","13","79","8228","5944","1006090.421","1.85933453909075","1.15840954232061","2.70424881870075","1.90618132545985","2.35899138350824","4.54684820769609","4","1","5"
"136","노원구","공릉2동","78","25","53","5491","4896","1131955.172","2.09840470165219","0.836980238294","1.08732477361461","1.1081768801469","1.84848689753962","3.18895424501804","4","1","5"
"137","노원구","상계10동","8","1","7","1752","2138","556561.27","-0.779854094483883","-1.1999425422791","-1.01913826530056","-0.991914971163324","-0.858999666074015","-2.12138831392576","1","4","1"
"138","노원구","상계1동","46","13","33","4386","6445","1112172.565","1.98657966254172","-0.831562890473327","0.252154911228496","2.28767009177835","1.56487329422372","2.56747401837423","4","1","5"
"139","노원구","상계2동","75","21","54","3219","3113","639895.4544","-0.238267773486742","-0.795447238335506","-0.400773220463886","-0.249496713357861","-0.358143890321298","-0.858898468510309","1","6","3"
"140","노원구","상계3.4동","27","6","21","4550","5653","467300.67","0.302965415807945","-0.994083325093521","0.139667774007191","1.6845980300533","0.496497926681148","0.867634120557975","4","6","4"
"141","노원구","상계5동","22","7","15","3886","4786","490365.915","0.263532375700568","-0.896571064321404","-0.0142950674409651","1.02441687157398","0.245339075909646","0.391751601990714","4","6","4"
"142","노원구","상계6.7동","37","18","19","4237","4589","1187833.84","1.34234972669792","-0.867678542611147","0.296144294499398","0.874410310766102","1.12804986808562","1.42089304530116","4","1","4"
