CD,자치구,행정동,경도,위도
1,마포구,서교동,126.9282833,37.555877
2,마포구,서교동,126.9148529,37.55394736
3,마포구,서교동,126.9125146,37.55750905
4,마포구,서교동,126.9114586,37.55731134
5,마포구,서교동,126.9178611,37.55465023
6,마포구,서교동,126.9225282,37.54976352
7,마포구,서교동,126.9168368,37.54972974
8,마포구,서교동,126.9192592,37.54976857
9,마포구,서교동,126.9191284,37.54982712
10,마포구,서교동,126.9158509,37.54984077
11,마포구,서교동,126.9143637,37.55258539
12,마포구,서교동,126.9132349,37.55260337
13,마포구,서교동,126.9222241,37.55821526
14,마포구,서교동,126.9134914,37.55613828
15,마포구,서교동,126.9128576,37.55505368
16,마포구,서교동,126.9251486,37.55573005
17,마포구,서교동,126.9152078,37.55198237
18,마포구,서교동,126.9116864,37.55809527
19,마포구,서교동,126.9139103,37.5557176
20,마포구,서교동,126.9148159,37.55406516
21,마포구,서교동,126.9130846,37.55711953
22,마포구,서교동,126.9243328,37.55861823
23,마포구,서교동,126.9132142,37.55407253
24,마포구,서교동,126.9110949,37.55649313
25,마포구,서교동,126.9175494,37.554793
26,마포구,서교동,126.9231559,37.55338367
27,마포구,서교동,126.9140068,37.55591777
28,마포구,서교동,126.9113167,37.55727223
29,마포구,서교동,126.916006,37.55728385
30,마포구,서교동,126.9238196,37.55133269
31,마포구,서교동,126.9155865,37.55735283
32,마포구,서교동,126.9153206,37.55745746
33,마포구,서교동,126.9247667,37.55403845
34,마포구,서교동,126.9109517,37.55675216
35,마포구,서교동,126.9211413,37.55861852
36,마포구,서교동,126.911233,37.55634613
37,마포구,서교동,126.9196462,37.55019296
38,마포구,서교동,126.9172736,37.5502389
39,마포구,서교동,126.9127757,37.55580374
40,마포구,서교동,126.9129084,37.55585757
41,마포구,서교동,126.9144392,37.55317479
42,마포구,서교동,126.9255514,37.55924854
43,마포구,서교동,126.9154006,37.5568389
44,마포구,서교동,126.911112,37.55720404
45,마포구,서교동,126.9137223,37.55722245
46,마포구,서교동,126.9115996,37.55732784
47,마포구,서교동,126.9099838,37.55735741
48,마포구,서교동,126.913922,37.55669611
49,마포구,서교동,126.9107835,37.55671905
50,마포구,서교동,126.9147616,37.55694625
51,마포구,서교동,126.9239686,37.55524108
52,마포구,서교동,126.9249056,37.56005187
53,마포구,서교동,126.9156851,37.5528554
54,마포구,서교동,126.9171121,37.5501378
55,마포구,서교동,126.9134446,37.55551037
56,마포구,서교동,126.9159073,37.55556533
57,마포구,서교동,126.9145651,37.55284207
58,마포구,서교동,126.9132772,37.55286188
59,마포구,서교동,126.9204085,37.5529867
60,마포구,서교동,126.9171228,37.55781704
61,마포구,서교동,126.9138794,37.5578277
62,마포구,서교동,126.9145171,37.55266513
63,마포구,서교동,126.9115679,37.55677713
64,마포구,서교동,126.913754,37.55627901
65,마포구,서교동,126.9146645,37.55264396
66,마포구,서교동,126.9181998,37.55401067
67,마포구,서교동,126.913191,37.55643735
68,마포구,서교동,126.9113654,37.55655719
69,마포구,서교동,126.9121607,37.55520607
70,마포구,서교동,126.9126883,37.5575514
71,마포구,서교동,126.9148056,37.55762277
72,마포구,서교동,126.9172229,37.55598733
73,마포구,서교동,126.9129172,37.55761851
74,마포구,서교동,126.9221306,37.55762175
75,마포구,서교동,126.92399,37.55882794
76,마포구,서교동,126.9223188,37.55834922
77,마포구,서교동,126.9135745,37.55244562
78,마포구,서교동,126.9134316,37.55240485
79,마포구,서교동,126.9278981,37.55609644
80,마포구,서교동,126.9208656,37.55265732
81,마포구,서교동,126.9129245,37.5526792
82,마포구,서교동,126.9311047,37.555455
83,마포구,서교동,126.9208987,37.55197746
84,마포구,서교동,126.9176087,37.54930701
85,마포구,서교동,126.9135926,37.55262189
86,마포구,서교동,126.915782,37.55270158
87,마포구,서교동,126.9305771,37.55652432
88,마포구,서교동,126.9296216,37.55542505
89,마포구,서교동,126.9128966,37.55274121
90,마포구,서교동,126.9138833,37.55546004
91,마포구,서교동,126.9169032,37.55439227
92,마포구,서교동,126.9274562,37.55637204
93,마포구,서교동,126.9161752,37.54985607
94,마포구,서교동,126.9312637,37.55578077
95,마포구,서교동,126.9314091,37.555863
96,마포구,서교동,126.9174469,37.54934192
97,마포구,서교동,126.9177281,37.54948863
98,마포구,서교동,126.9204251,37.54953676
99,마포구,서교동,126.91636,37.55010578
100,마포구,서교동,126.9268368,37.55391564
101,마포구,서교동,126.9245663,37.55851183
102,마포구,서교동,126.9222356,37.55782179
103,마포구,서교동,126.9224037,37.5578644
104,마포구,서교동,126.9146258,37.5524373
105,마포구,서교동,126.9157346,37.5524535
106,마포구,서교동,126.9153935,37.55247095
107,마포구,서교동,126.9139545,37.55251951
108,마포구,서교동,126.9124172,37.55512662
109,마포구,서교동,126.913673,37.55576003
110,마포구,서교동,126.9222788,37.55194553
111,마포구,서교동,126.9105907,37.55613693
112,마포구,서교동,126.9183309,37.55618679
113,마포구,서교동,126.9113942,37.55625645
114,마포구,서교동,126.9134496,37.55411101
115,마포구,서교동,126.9181194,37.55409458
116,마포구,서교동,126.9103987,37.55725981
117,마포구,서교동,126.9180037,37.55418031
118,마포구,서교동,126.9157635,37.55739743
119,마포구,서교동,126.9228633,37.55342368
120,마포구,서교동,126.913311,37.55344395
121,마포구,서교동,126.9134556,37.55347386
122,마포구,서교동,126.9126883,37.55346121
123,마포구,서교동,126.9117568,37.55791149
124,마포구,서교동,126.9098805,37.55751828
125,마포구,서교동,126.9107351,37.55755488
126,마포구,서교동,126.9220657,37.5590244
127,마포구,서교동,126.920584,37.5530593
128,마포구,서교동,126.9118481,37.55808176
129,마포구,서교동,126.9221332,37.55807928
130,마포구,서교동,126.9118018,37.55820167
131,마포구,서교동,126.9122106,37.55506494
132,마포구,서교동,126.9244378,37.55846593
133,마포구,서교동,126.9181976,37.55422001
134,마포구,서교동,126.9109987,37.5566425
135,마포구,서교동,126.9118811,37.55762454
136,마포구,서교동,126.9111673,37.55781614
137,마포구,서교동,126.9285579,37.5547391
138,마포구,서교동,126.9141727,37.55337234
139,마포구,서교동,126.9206013,37.55283724
140,마포구,서교동,126.9219916,37.54973874
141,마포구,서교동,126.9159102,37.55409327
142,마포구,서교동,126.9133626,37.5556183
143,마포구,서교동,126.9155104,37.55288433
144,마포구,서교동,126.9108488,37.55795905
145,마포구,서교동,126.919447,37.54991448
146,마포구,서교동,126.91369,37.55246918
147,마포구,서교동,126.9156325,37.55272246
148,마포구,서교동,126.913075,37.55257745
149,마포구,서교동,126.9173423,37.55604714
150,마포구,서교동,126.9295819,37.55674196
151,마포구,서교동,126.9250269,37.56022125
152,마포구,서교동,126.9137979,37.55787647
153,마포구,서교동,126.9287025,37.55592345
154,마포구,서교동,126.9272017,37.5563893
155,마포구,서교동,126.9194833,37.5509096
156,마포구,서교동,126.9156785,37.55299393
157,마포구,서교동,126.9104697,37.55707004
158,마포구,서교동,126.9257435,37.55900956
159,마포구,서교동,126.9123158,37.55796673
160,마포구,서교동,126.9314706,37.5555719
161,마포구,서교동,126.9168031,37.54993934
162,마포구,서교동,126.9257967,37.55909823
163,마포구,서교동,126.9147517,37.55287323
164,마포구,서교동,126.9323395,37.55534695
165,마포구,서교동,126.9149973,37.55662936
166,마포구,서교동,126.913888,37.55697624
167,마포구,서교동,126.9135613,37.55394019
168,마포구,서교동,126.9250067,37.55580946
169,마포구,서교동,126.9183159,37.55430416
170,마포구,서교동,126.9292779,37.55695333
171,마포구,서교동,126.9281449,37.55401146
172,마포구,서교동,126.9185061,37.55442763
173,마포구,서교동,126.9163291,37.55724411
174,마포구,서교동,126.928652,37.5562379
175,마포구,서교동,126.9291772,37.55744845
176,마포구,서교동,126.9148587,37.55805176
177,마포구,서교동,126.9119433,37.5567599
178,마포구,서교동,126.9295898,37.55575107
179,마포구,서교동,126.9314863,37.55568391
180,마포구,서교동,126.9118257,37.55708891
181,마포구,서교동,126.9254359,37.55405626
182,마포구,서교동,126.925375,37.55375269
183,마포구,서교동,126.9097774,37.55750524
184,마포구,서교동,126.9132162,37.55554827
185,마포구,서교동,126.9169808,37.55035018
186,마포구,서교동,126.9293915,37.55530667
187,마포구,서교동,126.9165572,37.55024172
188,마포구,서교동,126.9134342,37.55599403
189,마포구,서교동,126.9135895,37.55730932
190,마포구,서교동,126.9318091,37.55575279
191,마포구,서교동,126.9261273,37.55426123
192,마포구,서교동,126.9135557,37.55378638
193,마포구,서교동,126.9227192,37.55989546
194,마포구,서교동,126.9274674,37.55420447
195,마포구,서교동,126.9203833,37.54990745
196,마포구,서교동,126.9224114,37.55852322
197,마포구,서교동,126.9200915,37.55173695
198,마포구,서교동,126.913188,37.5527906
199,마포구,서교동,126.9128678,37.55280764
200,마포구,서교동,126.9156776,37.55384429
201,마포구,서교동,126.9144764,37.5580768
202,마포구,서교동,126.9317022,37.55606717
203,마포구,서교동,126.9141954,37.55301196
204,마포구,서교동,126.9184757,37.55485502
205,마포구,서교동,126.9150174,37.55425274
206,마포구,서교동,126.9132939,37.55581988
207,마포구,서교동,126.9174279,37.55385995
208,마포구,서교동,126.9158645,37.55748136
209,마포구,서교동,126.9297523,37.55525058
210,마포구,서교동,126.9254473,37.55391774
211,마포구,서교동,126.9256899,37.55891682
212,마포구,서교동,126.9160393,37.55344754
213,마포구,서교동,126.9130774,37.55277758
214,마포구,서교동,126.910148,37.55758036
215,마포구,서교동,126.9130681,37.55289822
216,마포구,서교동,126.9221391,37.55959089
217,마포구,서교동,126.9203349,37.55170355
218,마포구,서교동,126.9134453,37.55360351
219,동작구,상도1동,126.9528821,37.50288404
220,동작구,상도1동,126.9524004,37.50475449
221,동작구,상도1동,126.9516591,37.50054142
222,동작구,상도1동,126.9533408,37.5009171
223,동작구,상도1동,126.9504147,37.50298099
224,동작구,상도1동,126.9519189,37.50191208
225,동작구,상도1동,126.9519262,37.50579993
226,동작구,상도1동,126.9544064,37.49219568
227,동작구,상도1동,126.957913,37.49332306
228,동작구,상도1동,126.9520696,37.50432555
229,동작구,상도1동,126.9536647,37.50322945
230,동작구,상도1동,126.9513683,37.50286432
231,동작구,상도1동,126.9521791,37.50003633
232,동작구,상도1동,126.9535954,37.50674421
233,동작구,상도1동,126.9513959,37.50627613
234,동작구,상도1동,126.9469299,37.50203481
235,동작구,상도1동,126.954077,37.49326053
236,동작구,상도1동,126.956639,37.49326162
237,동작구,상도1동,126.9594697,37.4942215
238,동작구,상도1동,126.9532146,37.50529662
239,동작구,상도1동,126.9513939,37.50508174
240,동작구,상도1동,126.951811,37.50237244
241,동작구,상도1동,126.9527975,37.50239745
242,동작구,상도1동,126.9508753,37.50317316
243,동작구,상도1동,126.9511276,37.50186668
244,동작구,상도1동,126.9515403,37.50337296
245,동작구,상도1동,126.9522529,37.49584522
246,동작구,상도1동,126.9522341,37.50825764
247,동작구,상도1동,126.9473571,37.5021088
248,동작구,상도1동,126.9516912,37.50578363
249,동작구,상도1동,126.9545054,37.50142755
250,동작구,상도1동,126.9522331,37.50434011
251,동작구,상도1동,126.95461,37.49331417
252,동작구,상도1동,126.9486529,37.5003984
253,동작구,상도1동,126.9520043,37.50088722
254,동작구,상도1동,126.9514902,37.50708487
255,동작구,상도1동,126.9531179,37.50120315
256,동작구,상도1동,126.9558107,37.49318342
257,동작구,상도1동,126.9491799,37.50441888
258,동작구,상도1동,126.9526844,37.49562902
259,동작구,상도1동,126.9508146,37.50260256
260,동작구,상도1동,126.9523999,37.50305854
261,동작구,상도1동,126.9507155,37.50394866
262,동작구,상도1동,126.9487929,37.5001635
263,동작구,상도1동,126.9550832,37.49348513
264,동작구,상도1동,126.9532528,37.49428855
265,동작구,상도1동,126.9534424,37.50710117
266,동작구,상도1동,126.954494,37.49180003
267,동작구,상도1동,126.9524323,37.5078149
268,동작구,상도1동,126.9528654,37.49955143
269,동작구,상도1동,126.9525549,37.50054135
270,동작구,상도1동,126.953528,37.49364686
271,동작구,상도1동,126.9535108,37.49786542
272,동작구,상도1동,126.9504768,37.50722721
273,동작구,상도1동,126.9569904,37.49342068
274,동작구,상도1동,126.9544955,37.49704577
275,동작구,상도1동,126.9522755,37.50798648
276,동작구,상도1동,126.9529815,37.49980069
277,동작구,상도1동,126.9526049,37.49987461
278,동작구,상도1동,126.9538158,37.50370717
279,동작구,상도1동,126.9530201,37.50744691
280,동작구,상도1동,126.9532299,37.50206639
281,동작구,상도1동,126.9520782,37.50577294
282,동작구,상도1동,126.9525972,37.50722703
283,동작구,상도1동,126.9549235,37.49296591
284,동작구,상도1동,126.9521114,37.50357082
285,동작구,상도1동,126.9474783,37.50190838
286,동작구,상도1동,126.9539178,37.50760657
287,동작구,상도1동,126.9527105,37.50795439
288,동작구,상도1동,126.9545863,37.49192266
289,동작구,상도1동,126.9497706,37.502312
290,동작구,상도1동,126.9581072,37.49305535
291,동작구,상도1동,126.9540675,37.49214552
292,동작구,상도1동,126.9540447,37.49203667
293,동작구,상도1동,126.9523079,37.50715864
294,동작구,상도1동,126.9515596,37.50099113
295,동작구,상도1동,126.9536884,37.49502435
296,동작구,상도1동,126.9491545,37.50314852
297,동작구,상도1동,126.9505575,37.50426355
298,동작구,상도1동,126.9520882,37.50466376
299,동작구,상도1동,126.9513387,37.50218069
300,동작구,상도1동,126.9522542,37.50160008
301,동작구,상도1동,126.950312,37.50678345
302,동작구,상도1동,126.9526863,37.50344028
303,동작구,상도1동,126.9509871,37.49811079
304,동작구,상도1동,126.9518289,37.50579135
305,동작구,상도1동,126.9534343,37.49975255
306,동작구,상도1동,126.9487545,37.50029949
307,동작구,상도1동,126.953206,37.50377967
308,동작구,상도1동,126.9579416,37.49763701
309,동작구,상도1동,126.9505158,37.50247873
310,동작구,상도1동,126.9526635,37.50186899
311,동작구,상도1동,126.9521249,37.50775012
312,동작구,상도1동,126.9533686,37.50033033
313,동작구,상도1동,126.9551542,37.4926854
314,동작구,상도1동,126.9553765,37.49332014
315,동작구,상도1동,126.9511822,37.50735958
316,동작구,상도1동,126.9483467,37.50128003
317,동작구,상도1동,126.9520624,37.50586492
318,동작구,상도1동,126.955152,37.49244055
319,동작구,상도1동,126.9519566,37.50597816
320,동작구,상도1동,126.9527489,37.50273679
321,동작구,상도1동,126.9486276,37.50067764
322,동작구,상도1동,126.9517255,37.50532701
323,동작구,상도1동,126.9531327,37.49435383
324,동작구,상도1동,126.9501309,37.50325411
325,동작구,상도1동,126.9529491,37.50059597
326,동작구,상도1동,126.9505109,37.49940428
327,동작구,상도1동,126.9592144,37.49825294
328,동작구,상도1동,126.9587431,37.49793104
329,동작구,상도1동,126.9565153,37.49402813
330,동작구,상도1동,126.9521782,37.50678401
331,동작구,상도1동,126.9485819,37.50031587
332,동작구,상도1동,126.9493198,37.50022084
333,동작구,상도1동,126.9522487,37.50234437
334,동작구,상도1동,126.9532898,37.49440863
335,동작구,상도1동,126.9531166,37.50284761
336,동작구,상도1동,126.9525998,37.50792717
337,동작구,상도1동,126.9549234,37.49309876
338,동작구,상도1동,126.9531781,37.50745716
339,동작구,상도1동,126.9516595,37.50372618
340,동작구,상도1동,126.9522825,37.50215231
341,동작구,상도1동,126.9528262,37.50416021
342,동작구,상도1동,126.9539351,37.4931914
343,동작구,상도1동,126.9515161,37.49796967
344,동작구,상도1동,126.9487304,37.50081739
345,동작구,상도1동,126.9508151,37.50674116
346,동작구,상도1동,126.9518285,37.50204005
347,동작구,상도1동,126.952621,37.49584348
348,동작구,상도1동,126.9537484,37.50771059
349,동작구,상도1동,126.9572835,37.49410054
350,동작구,상도1동,126.9530565,37.50444841
351,동작구,상도1동,126.9553532,37.49239396
352,동작구,상도1동,126.9487674,37.5010764
353,동작구,상도1동,126.9523992,37.5075654
354,동작구,상도1동,126.9525933,37.50146229
355,동작구,상도1동,126.9568104,37.49449468
356,동작구,상도1동,126.9524211,37.50250373
357,동작구,상도1동,126.9553086,37.49349567
358,동작구,상도1동,126.947245,37.50188896
359,동작구,상도1동,126.9527337,37.50288309
360,동작구,상도1동,126.9527029,37.50323159
361,동작구,상도1동,126.9578569,37.49332283
362,동작구,상도1동,126.9496756,37.49845438
363,동작구,상도1동,126.9461876,37.50285481
364,동작구,상도1동,126.9553417,37.49267662
365,동작구,상도1동,126.9529029,37.50272598
366,동작구,상도1동,126.9493399,37.50233553
367,동작구,상도1동,126.9523883,37.49957316
368,동작구,상도1동,126.9523937,37.50321405
369,동작구,상도1동,126.9531553,37.50087171
370,동작구,상도1동,126.9523486,37.49593747
371,동작구,상도1동,126.9529859,37.50429049
372,동작구,상도1동,126.9542239,37.49221096
373,동작구,상도1동,126.9533727,37.50749294
374,동작구,상도1동,126.9546474,37.49215883
375,동작구,상도1동,126.9519816,37.50403255
376,동작구,상도1동,126.9523608,37.50739463
377,동작구,상도1동,126.9539395,37.50728365
378,동작구,상도1동,126.9519361,37.5045221
379,동작구,상도1동,126.9531417,37.50429008
380,동작구,상도1동,126.9524795,37.50120044
381,동작구,상도1동,126.9536829,37.50331992
382,동작구,상도1동,126.9551027,37.4933123
383,동작구,상도1동,126.9493218,37.50045101
384,동작구,상도1동,126.9482028,37.50113391
385,동작구,상도1동,126.9514648,37.50371543
386,동작구,상도1동,126.9543495,37.49393067
387,동작구,상도1동,126.9490167,37.5027408
388,동작구,상도1동,126.9520698,37.50598831
389,동작구,상도1동,126.953063,37.50366491
390,동작구,상도1동,126.9610097,37.49546809
391,동작구,상도1동,126.952288,37.50387224
392,동작구,상도1동,126.9509067,37.50380627
393,동작구,상도1동,126.9582844,37.49474473
394,동작구,상도1동,126.9523561,37.50171617
395,동작구,상도1동,126.9480812,37.50107746
396,동작구,상도1동,126.952866,37.5074374
397,동작구,상도1동,126.9493545,37.49956126
398,동작구,상도1동,126.9551449,37.49312346
399,동작구,상도1동,126.9525706,37.50832991
400,동작구,상도1동,126.9532934,37.50073082
401,동작구,상도1동,126.949392,37.50054541
402,동작구,상도1동,126.9519258,37.50792726
403,동작구,상도1동,126.9468986,37.50228835
404,동작구,상도1동,126.9492388,37.50051452
405,동작구,상도1동,126.9530195,37.5012892
406,동작구,상도1동,126.9541588,37.49251903
407,동작구,상도1동,126.9514329,37.49781073
408,동작구,상도1동,126.9534766,37.49991252
409,동작구,상도1동,126.9506623,37.49903648
410,동작구,상도1동,126.9513908,37.50717947
411,동작구,상도1동,126.951377,37.50742052
412,동작구,상도1동,126.9529353,37.50242418
413,동작구,상도1동,126.9487815,37.50041852
414,동작구,상도1동,126.9549261,37.49275036
415,동작구,상도1동,126.9514794,37.50292405
416,동작구,상도1동,126.9526295,37.50745478
417,동작구,상도1동,126.9571808,37.49381548
418,동작구,상도1동,126.9595791,37.49420469
419,동작구,상도1동,126.9571612,37.49310337
420,동작구,상도1동,126.9516752,37.5051155
421,동작구,상도1동,126.9511973,37.50277447
422,동작구,상도1동,126.9539254,37.50744915
423,동작구,상도1동,126.9518703,37.50750168
424,동작구,상도1동,126.9484497,37.50044369
425,동작구,상도1동,126.952655,37.50818459
426,동작구,상도1동,126.9535176,37.50006073
427,동작구,상도1동,126.9499188,37.50127868
428,동작구,상도1동,126.951522,37.50575786
429,동작구,상도1동,126.9532111,37.5044629
430,동작구,상도1동,126.9525013,37.50184168
431,동작구,상도1동,126.9473834,37.50172522
432,동작구,상도1동,126.9544135,37.49318157
433,동작구,상도1동,126.9521606,37.50097079
434,동작구,상도1동,126.9540924,37.50264369
435,동작구,상도1동,126.9553414,37.49311096
436,동작구,상도1동,126.9500194,37.49872409
437,동작구,상도1동,126.9541181,37.50711233
438,동작구,상도1동,126.951161,37.50493446
439,동작구,상도1동,126.9531399,37.50709603
440,동작구,상도1동,126.9530667,37.50324624
441,동작구,상도1동,126.949775,37.50004259
442,동작구,상도1동,126.9519597,37.50176915
443,동작구,상도1동,126.9519316,37.50067018
444,동작구,상도1동,126.9532605,37.50130234
445,동작구,상도1동,126.9529602,37.49600423
446,동작구,상도1동,126.9590937,37.49422387
447,동작구,상도1동,126.9543533,37.50705996
448,동작구,상도1동,126.9516971,37.5007394
449,동작구,상도1동,126.9510876,37.49992829
450,동작구,상도1동,126.9577893,37.493924
451,동작구,상도1동,126.9556115,37.49293047
452,동작구,상도1동,126.9534355,37.49319278
453,동작구,상도1동,126.9504392,37.50703151
454,동작구,상도1동,126.9540498,37.49381574
455,동작구,상도1동,126.9500067,37.50377505
456,동작구,상도1동,126.9481944,37.50053559
457,동작구,상도1동,126.9549223,37.49240103
458,동작구,상도1동,126.953142,37.50250791
459,동작구,상도1동,126.9532521,37.50155136
460,동작구,상도1동,126.9527914,37.49981084
461,동작구,상도1동,126.9508934,37.50750553
462,동작구,상도1동,126.9523311,37.49909823
463,동작구,상도1동,126.9509652,37.50108456
464,동작구,상도1동,126.9506195,37.50699267
465,동작구,상도1동,126.9524232,37.50286366
466,동작구,상도1동,126.9527851,37.50484271
467,동작구,상도1동,126.9521922,37.50670159
468,동작구,상도1동,126.9509698,37.50552151
