3. 생활폐기물 관리인원 및 장비현황,,,,,,,,,,,,,,,,,
나-1). 시·군·구 인원 및 장비현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,인원(명),차량(대),손수레(대),중장비(대),인원(명),차량(대),손수레(대),중장비(대),인원(명),차량(대),손수레(대),중장비(대),인원(명),차량(대),손수레(대),중장비(대)
서울,종로구,258,147,55,0,134,62,45,0,0,0,0,0,124,85,10,0
서울,중구,125,72,4,1,125,72,4,1,0,0,0,0,0,0,0,0
서울,용산구,240,125,43,11,59,42,0,0,0,0,0,0,181,83,43,11
서울,성동구,197,99,0,1,197,99,0,1,0,0,0,0,0,0,0,0
서울,광진구,96,51,37,4,0,0,0,0,0,0,0,0,96,51,37,4
서울,동대문구,244,105,50,0,120,14,50,0,0,0,0,0,124,91,0,0
서울,중랑구,237,101,0,0,65,22,0,0,0,0,0,0,172,79,0,0
서울,성북구,229,127,83,2,123,50,83,2,0,0,0,0,106,77,0,0
서울,강북구,330,89,0,7,330,89,0,7,0,0,0,0,0,0,0,0
서울,도봉구,118,71,0,3,27,25,0,3,0,0,0,0,91,46,0,0
서울,노원구,99,60,0,0,0,0,0,0,0,0,0,0,99,60,0,0
서울,은평구,222,96,42,3,222,96,42,3,0,0,0,0,0,0,0,0
서울,서대문구,200,56,0,1,200,56,0,1,0,0,0,0,0,0,0,0
서울,마포구,318,102,0,0,135,45,0,0,0,0,0,0,183,57,0,0
서울,양천구,186,79,29,0,186,79,29,0,0,0,0,0,0,0,0,0
서울,강서구,204,83,0,5,53,20,0,5,0,0,0,0,151,63,0,0
서울,구로구,154,49,21,2,14,7,0,0,0,0,0,0,140,42,21,2
서울,금천구,126,79,0,4,42,40,0,2,0,0,0,0,84,39,0,2
서울,영등포구,271,128,27,8,127,48,0,3,0,0,0,0,144,80,27,5
서울,동작구,181,62,33,0,181,62,33,0,0,0,0,0,0,0,0,0
서울,관악구,331,94,60,1,226,46,0,1,0,0,0,0,105,48,60,0
서울,서초구,229,110,14,7,229,110,14,7,0,0,0,0,0,0,0,0
서울,강남구,586,52,0,0,20,0,0,0,0,0,0,0,566,52,0,0
서울,송파구,114,67,94,0,114,67,94,0,0,0,0,0,0,0,0,0
서울,강동구,232,74,73,1,123,16,0,1,0,0,0,0,109,58,73,0
인천,중구,152,50,84,3,84,13,70,0,0,0,0,0,68,37,14,3
인천,동구,59,16,53,0,41,2,41,0,0,0,0,0,18,14,12,0
인천,미추홀구,277,76,178,7,140,0,119,4,0,0,0,0,137,76,59,3
인천,연수구,149,53,102,3,73,0,61,0,0,0,0,0,76,53,41,3
인천,남동구,296,87,148,0,135,0,135,0,0,0,0,0,161,87,13,0
인천,부평구,254,97,148,0,135,8,135,0,0,0,0,0,119,89,13,0
인천,계양구,182,52,51,3,95,0,0,0,0,0,0,0,87,52,51,3
인천,서구,285,74,112,5,139,1,89,2,0,0,0,0,146,73,23,3
인천,강화군,45,25,15,3,45,25,15,3,0,0,0,0,0,0,0,0
인천,옹진군,51,24,0,0,43,20,0,0,0,0,0,0,8,4,0,0
경기,수원시,820,206,296,0,296,5,296,0,0,0,0,0,524,201,0,0
경기,고양시,462,130,19,0,102,0,19,0,0,0,0,0,360,130,0,0
경기,성남시,628,302,78,10,57,44,0,10,0,0,0,0,571,258,78,0
경기,용인시,589,191,0,0,96,31,0,0,0,0,0,0,493,160,0,0
경기,부천시,498,157,0,7,137,7,0,7,0,0,0,0,361,150,0,0
경기,안산시,587,171,147,3,587,171,147,3,0,0,0,0,0,0,0,0
경기,남양주시,271,113,0,0,79,17,0,0,0,0,0,0,192,96,0,0
경기,안양시,454,73,0,6,201,0,0,0,0,0,0,0,253,73,0,6
경기,화성시,453,180,0,4,28,24,0,4,0,0,0,0,425,156,0,0
경기,평택시,398,132,175,16,0,0,131,0,0,0,0,0,398,132,44,16
경기,의정부시,308,94,30,9,8,0,0,4,0,0,0,0,300,94,30,5
경기,시흥시,309,126,117,10,298,124,117,8,0,0,0,0,11,2,0,2
경기,파주시,450,175,0,0,141,0,0,0,0,0,0,0,309,175,0,0
경기,김포시,124,79,0,0,0,0,0,0,0,0,0,0,124,79,0,0
경기,광명시,203,109,0,0,39,10,0,0,0,0,0,0,164,99,0,0
경기,광주시,196,66,0,0,66,20,0,0,0,0,0,0,130,46,0,0
경기,군포시,173,37,0,3,94,2,0,3,0,0,0,0,79,35,0,0
경기,오산시,146,56,35,3,58,13,35,3,0,0,0,0,88,43,0,0
경기,이천시,198,58,30,2,68,4,30,1,0,0,0,0,130,54,0,1
경기,양주시,165,55,0,6,76,0,0,6,0,0,0,0,89,55,0,0
경기,안성시,134,49,35,0,134,49,35,0,0,0,0,0,0,0,0,0
경기,구리시,116,38,42,1,49,10,20,1,0,0,0,0,67,28,22,0
경기,포천시,121,32,24,4,44,2,24,4,0,0,0,0,77,30,0,0
경기,의왕시,148,48,0,1,35,20,0,1,0,0,0,0,113,28,0,0
경기,하남시,91,58,20,0,20,50,20,0,0,0,0,0,71,8,0,0
경기,여주시,98,53,16,9,98,53,16,9,0,0,0,0,0,0,0,0
경기,양평군,80,74,0,0,80,74,0,0,0,0,0,0,0,0,0,0
경기,동두천시,93,23,0,0,46,2,0,0,0,0,0,0,47,21,0,0
경기,과천시,95,40,42,3,63,16,42,2,0,0,0,0,32,24,0,1
경기,가평군,142,29,0,0,57,6,0,0,0,0,0,0,85,23,0,0
경기,연천군,54,28,0,0,54,28,0,0,0,0,0,0,0,0,0,0