,시도명,시군구명,인구_주성분,도시지역면적,주거지역면적,상업지역면적,폐기물관리손수레_구간,대체_재활용
0,서울,종로구,-1.7777190160469227,-0.6735114060309733,-0.5171074633827225,0.7148889704705994,1,219.6
1,서울,중구,-2.0490883712104946,-0.8395478312116291,-0.8693646664062493,1.2770219012800579,0,224.3
2,서울,용산구,-0.6882217366140045,-0.6978683228626428,-0.3771851881703216,-0.08108830130431414,0,198.6
3,서울,성동구,-0.44144653766273645,-0.7574493085159243,-0.5062486579790586,-0.7066292253672047,0,211.4
4,서울,광진구,0.6645208527823863,-0.7550265110663085,-0.35291530118526987,-0.8632452092128539,0,253.2
5,서울,동대문구,0.8652104490332386,-0.7889112264811498,-0.2195939515791141,-0.5018280124583756,0,298.4
6,서울,중랑구,0.45636798545438373,-0.7379731613291279,-0.42504480092346736,-0.7733762120696736,0,223.1
7,서울,성북구,1.261980293568536,-0.6656450549056621,0.22218933232529767,-0.750423804958958,1,275.6
8,서울,강북구,-0.2981898214337201,-0.6772380489573889,-0.4098717451791441,-0.8236226407861721,0,175.3
9,서울,도봉구,-0.5806103646997544,-0.7122121343363641,-0.678780781685098,-0.8303623540662508,0,220.7
10,서울,노원구,1.3423899289517331,-0.536379185511366,-0.13652067271885887,-0.6389407671186358,0,207.4
11,서울,은평구,1.0801009419201686,-0.6045167731256899,-0.002075441211061561,-0.6853670827357009,0,224.9
12,서울,서대문구,0.08043164736797459,-0.7483308268815256,0.003757006231567321,-0.8160054898702979,0,146.5
13,서울,마포구,0.5652011002370783,-0.6742484216672358,-0.1871134674458281,-0.43724606418269235,0,285.9
14,서울,양천구,0.16542451632623797,-0.7509478469963509,-0.2658008022926371,-0.5199011509802951,0,221.5
15,서울,강서구,2.4051906555990326,-0.46499069459537057,-0.06319439012935958,-0.21571411734004128,0,446.2
16,서울,구로구,1.0009617191366813,-0.7186480537385516,-0.48387707457617957,-0.6832978067333348,0,171.0
17,서울,금천구,-0.2832022790155806,-0.8031322476300152,-0.887190666646044,-0.8932638448579941,0,198.0
18,서울,영등포구,0.9146240102040708,-0.6659524055501722,-0.6858213418081479,0.5245034637293544,0,266.4
19,서울,동작구,1.0501407200997148,-0.7634552535409107,-0.14931269986657103,-0.7807712633867435,0,224.9
20,서울,관악구,2.3034670416556553,-0.606212348178442,-0.006643776899836161,-0.7544862085298143,1,313.2
21,서울,서초구,0.14845049918404257,-0.39899125791831885,0.3239659302424692,-0.21805683544587023,0,293.2
22,서울,강남구,1.539767983613451,-0.4880261071807775,0.8163221352391657,-0.011982443797921554,0,348.2
23,서울,송파구,2.588008634356971,-0.5549995368484383,0.516919235128757,0.3828108422771278,1,297.09999999999997
24,서울,강동구,0.3465459981371125,-0.6654557705081933,-0.225854053637266,-0.5876761415400865,1,283.1
25,인천,중구,-2.4321413954254623,0.7112695421658635,-0.28764164820849897,2.4575764544670995,1,113.2
26,인천,동구,-3.338416878100043,-0.8724515924632631,-1.2068514869564426,-0.7159591391632085,1,35.6
27,인천,연수구,-0.3482297366853243,-0.3042172014855078,0.6617689644660297,1.9058089407779397,1,168.4
28,인천,남동구,1.571530279121222,-0.27959990110034527,0.07059612584327223,0.17389588329278374,1,307.4
29,인천,부평구,1.591616874559023,-0.5771797009583767,-0.07862886775049005,0.12736111384565318,1,209.5
30,인천,계양구,-1.2440327167591096,-0.41586591375993204,-0.5598537013724998,-0.6079143184887914,1,136.7
31,인천,서구,1.0811109004154364,0.43520835703213645,1.018334845783108,1.5145680945196092,1,266.2
32,인천,미추홀구,0.7569767711062811,-0.6625430968987108,-0.07200388947422963,0.8635901322497691,1,163.9
33,인천,강화군,-3.1440057021498244,-0.6610088425586315,-1.2490197179262386,-0.8634517329956382,0,88.1
34,인천,옹진군,-3.819769478026934,-0.958066054695305,-1.4291960401920052,-0.9795780946561566,0,12.2
35,경기,수원시,1.6366709221189948,0.4828630691086828,2.725389798014741,2.6059534085202225,1,539.5
36,경기,성남시,4.9384627100467275,0.7272882117667071,1.380156467667159,1.9917880220906339,1,411.0
37,경기,의정부시,0.4882073042499077,0.012271808623819639,0.06188190850394541,-0.010931941539681096,0,211.2
38,경기,안양시,1.337217423904651,-0.2623377637829807,-0.023286367201387603,0.2961695003425446,0,98.8
39,경기,부천시,4.969717277631191,-0.3220856390870135,0.75096035105064,0.9927701814992305,0,420.8
40,경기,광명시,-0.9137361871380189,-0.49962312324333885,-0.5613958582770329,-0.10170087471957487,0,129.8
41,경기,평택시,2.1949161668936075,2.3639028346792856,2.3597209562051153,2.5556965959263773,1,297.09999999999997
42,경기,동두천시,-2.8698436303710277,0.18028567090053219,-0.8895091025801442,-0.3781860311271506,0,27.0
43,경기,안산시,2.86044366053399,0.8950451532270652,0.7122274728577012,0.6793997621099763,1,321.9
44,경기,고양시,2.298268804850852,2.2320350336605137,2.1092237278248884,2.3849879598750405,0,297.09999999999997
45,경기,과천시,-3.615193947464354,-0.5312531327027897,-1.0115238399300732,-0.8432533609100955,0,37.5
46,경기,구리시,-2.2754077007544184,-0.5615164438415714,-0.7446730247582856,-0.5323981473670403,0,90.9
47,경기,남양주시,2.3222410346895788,2.760915809739811,2.24238562401631,-0.08925406707333867,0,451.5
48,경기,오산시,-1.4571495206813099,-0.44986804095259597,-0.3971329310813113,-0.35628470315675026,0,130.1
49,경기,시흥시,0.8635067128713473,0.6919108900529721,0.6830355180599819,0.09945386659434051,1,244.9
50,경기,군포시,-1.2506339984967645,-0.5247258731965618,-0.6619018437187244,-0.5873755859791072,0,113.3
51,경기,의왕시,-2.64812356260898,-0.31564369856801455,-0.8023855026772353,-0.8170917588171769,0,30.3
52,경기,하남시,-1.492219809147852,0.1484770151432753,-0.15570086614075032,-0.353393370197771,0,109.3
53,경기,용인시,2.4554261627514617,3.1951703561336258,2.0395015381721606,1.2880674623665653,0,297.09999999999997
54,경기,파주시,0.7118918995726333,2.114932831677711,0.603129483643247,0.3011058802567475,0,312.5
55,경기,이천시,-1.601570258921267,0.7335890487221689,-0.825902327495669,-0.6049462602138617,0,332.3
56,경기,안성시,-1.3611827358504138,-0.28110027773378027,-0.48912956478233915,-0.3413348041878862,0,131.3
57,경기,김포시,0.8042348727227854,0.5538003213475917,0.3350257008118208,0.17090013467826276,0,136.1
58,경기,화성시,3.587043739417171,2.70804798854917,3.486108514563569,2.5039554657540295,0,383.6
59,경기,광주시,-0.03289616287164203,1.8480989604597216,-0.3906075995808286,-0.7518971617780388,0,162.0
60,경기,양주시,-1.5625601630896542,0.5562798077309815,1.062829313552955,-0.5947250636122667,0,125.8
61,경기,포천시,-1.6917119236700653,0.012205635836095732,-0.6293846769419787,-0.6563874117073047,0,198.6
62,경기,여주시,-2.648463444341141,0.8111896900647813,-1.2015225668374545,-0.8519083226785642,0,113.0
63,경기,연천군,-3.504115820747492,0.7439104090820929,-1.0515536120873503,-0.7069580481498501,0,52.8
64,경기,가평군,-3.272306682537098,0.7657059832802823,-0.8897723818059873,-0.6986849823149097,0,47.9
65,경기,양평군,-2.6060789125639188,-0.4556483963876399,-1.1273355887047052,-0.7953738793465682,0,40.7
